publishedAt,title,description,url,thumbnail_url,categoryId,liveBroadcastContent,duration,viewCount,likeCount,favoriteCount,commentCount,embedHtml,actualStartTime,actualEndTime,scheduledStartTime
2023-01-21T12:21:24Z,【#最終回？】ずっとやりたかったポケモンやるしゅばああああああああああああああああああああああああああああ！！！四天王撃破＆パルデアの大穴/Pokémon Scarlet【ホロライブ/大空スバル】,"★イラスト…noRio2(のりお)先輩！https://twitter.com/noriosub

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+
🐣お知らせ/Inform🐣
・新曲スターライト出ました！
→https://cover.lnk.to/starlight

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣twitter🐣
https://twitter.com/oozorasubaru

放送の感想は #生スバル でツイートしてね～！

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣メンバーシップ/Membership🐣
→https://www.youtube.com/channel/UCvzGlP9oQwU--Y0r9id_jnA/join

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣おやくそく/Rule🐣
・待機所でお喋りしないでね！コメントするなら待機で！
・Do not conversation to other users in the waiting room to avoid trouble

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+
この放送は株式会社ドワンゴの実施するニコニコ生放送の出張版放送として配信しております。
ホロライブ公式YouTubeチャンネルでもオリジナルコンテンツ配信中！▷ https://www.youtube.com/channel/UCJFZ...
ホロライブ公式Twitter▷ https://twitter.com/hololivetv
ホロライブ公式サイト▷ https://www.hololive.tv/",https://www.youtube.com/watch?v=44VqJr1rxtg,https://i.ytimg.com/vi/44VqJr1rxtg/hqdefault.jpg,20,none,7:03:52,266444,9383,0,60,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/44VqJr1rxtg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2023-01-21T04:02:02Z,2023-01-21T11:05:53Z,2023-01-21T04:00:00Z
2023-01-21T02:17:47Z,【#生スバル】３D新衣装お家３D！おはスバしゅばああああああああああああああああああああああ！！！！/Free Talk【ホロライブ/大空スバル】,"★イラスト…成田タメゾウ先輩！　https://twitter.com/Narita_Tamezou
+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+
🐣お知らせ/Inform🐣

🐣新曲「スターライト」はこちらから🐣
https://cover.lnk.to/starlight
+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣twitter🐣
https://twitter.com/oozorasubaru

放送の感想は #生スバル でツイートしてね～！

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣メンバーシップ/Membership🐣
→https://www.youtube.com/channel/UCvzGlP9oQwU--Y0r9id_jnA/join

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣おやくそく/Rule🐣
・待機所でお喋りしないでね！コメントするなら待機で！
・Do not conversation to other users in the waiting room to avoid trouble

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

ホロライブ公式YouTubeチャンネルでもオリジナルコンテンツ配信中！▷ https://www.youtube.com/channel/UCJFZ...
ホロライブ公式Twitter▷ https://twitter.com/hololivetv
ホロライブ公式サイト▷ https://www.hololive.tv/",https://www.youtube.com/watch?v=A2a920mQ0Rs,https://i.ytimg.com/vi/A2a920mQ0Rs/hqdefault.jpg,20,none,1:11:25,126384,10978,0,82,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/A2a920mQ0Rs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2023-01-21T01:01:36Z,2023-01-21T02:13:04Z,2023-01-21T01:00:00Z
2023-01-20T15:50:02Z,【＃生スバル】ガンソード同時視聴会しゅばああああああああああああああ：GUN×SWORD watch party【ホロライブ/大空スバル】,"🐣4周年記念グッズはこちらから🐣
https://shop.hololivepro.com/products/oozorasubaru_an4th

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+
🐣お知らせ/Inform🐣
・新曲スターライト出ました！
→https://cover.lnk.to/starlight

・コラボおせち予約販売中！（12月17日まで）
→https://smilebase.co.jp/announcement/4529/

・FAMS富士急コラボ開催中！(11/19～12/30まで)
→https://www.fujiq.jp/special/2022_hololive/index.html

・クリスマスボイス発売中🎅
→https://shop.hololivepro.com/products/hololive_christmasvoice2022

・メガトン級ムサシコラボ
→https://www.megaton-musashi.jp/portal/topics/hololive/
+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣twitter🐣
https://twitter.com/oozorasubaru

放送の感想は #生スバル でツイートしてね～！

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣メンバーシップ/Membership🐣
→https://www.youtube.com/channel/UCvzGlP9oQwU--Y0r9id_jnA/join

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣おやくそく/Rule🐣
・待機所でお喋りしないでね！コメントするなら待機で！
・Do not conversation to other users in the waiting room to avoid trouble

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

ホロライブ公式YouTubeチャンネルでもオリジナルコンテンツ配信中！▷ https://www.youtube.com/channel/UCJFZ...
ホロライブ公式Twitter▷ https://twitter.com/hololivetv
ホロライブ公式サイト▷ https://www.hololive.tv/",https://www.youtube.com/watch?v=VU2K_IXn-TI,https://i.ytimg.com/vi/VU2K_IXn-TI/hqdefault.jpg,20,none,2:23:54,35966,3390,0,29,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/VU2K_IXn-TI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2023-01-20T13:02:08Z,2023-01-20T15:26:21Z,2023-01-20T13:00:00Z
2023-01-20T12:37:44Z,【#ホロライブレトロゲーム部】ライブアライブリメイクだ！！！！！！最終回だ！！！！！：LIVE A LIVE【※ネタバレ有】,"★ゲスト…おかゆ@NekomataOkayu 
+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+
©1994, 2022 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN
© 1994, 2022 SQUARE ENIX CO., LTD.
© 1994, SHOGAKUKAN Inc.
Gosho Aoyama, Yoshihide Fujiwara, Osamu Ishiwata, Yoshinori Kobayashi, Ryouji Minagawa, Kazuhiko Shimamoto, Yumi Tamura
記載されている会社名・製品名・システム名などは、各社の商標、または登録商標です。
本動画のゲームプレイ映像は、株式会社スクウェア・エニックスの許諾を受けて使用しています。
+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+
🐣4周年記念グッズはこちらから🐣
https://shop.hololivepro.com/products/oozorasubaru_an4th

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+
🐣お知らせ/Inform🐣
・新曲スターライト出ました！
→https://cover.lnk.to/starlight

・コラボおせち予約販売中！（12月17日まで）
→https://smilebase.co.jp/announcement/4529/

・FAMS富士急コラボ開催中！(11/19～12/30まで)
→https://www.fujiq.jp/special/2022_hololive/index.html

・クリスマスボイス発売中🎅
→https://shop.hololivepro.com/products/hololive_christmasvoice2022

・メガトン級ムサシコラボ
→https://www.megaton-musashi.jp/portal/topics/hololive/
+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣twitter🐣
https://twitter.com/oozorasubaru

放送の感想は #生スバル でツイートしてね～！

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣メンバーシップ/Membership🐣
→https://www.youtube.com/channel/UCvzGlP9oQwU--Y0r9id_jnA/join

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣おやくそく/Rule🐣
・待機所でお喋りしないでね！コメントするなら待機で！
・Do not conversation to other users in the waiting room to avoid trouble

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+
ホロライブ公式YouTubeチャンネルでもオリジナルコンテンツ配信中！▷ https://www.youtube.com/channel/UCJFZ...
ホロライブ公式Twitter▷ https://twitter.com/hololivetv
ホロライブ公式サイト▷ https://www.hololive.tv/",https://www.youtube.com/watch?v=IB0pfmOkCmE,https://i.ytimg.com/vi/IB0pfmOkCmE/hqdefault_live.jpg,20,upcoming,0:00:00,0,455,0,0,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/IB0pfmOkCmE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",,,2023-01-22T04:00:00Z
2023-01-19T15:48:47Z,【#生スバル】ホロ共通テストするしゅばああああああああああああああああああああああああああああああああ！！！！【ホロライブ/大空スバル】,"★イラスト…ぶんぶん🐝~先輩！　https://twitter.com/bn__bn_
★テスト制作…ヤマた@にじさんじ共通テスト1/13,ホロライブ共通テスト1/14公開先輩！
+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+
🐣お知らせ/Inform🐣
・新曲スターライト出ました！
→https://cover.lnk.to/starlight
+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣twitter🐣
https://twitter.com/oozorasubaru

放送の感想は #生スバル でツイートしてね～！

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣メンバーシップ/Membership🐣
→https://www.youtube.com/channel/UCvzGlP9oQwU--Y0r9id_jnA/join

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣おやくそく/Rule🐣
・待機所でお喋りしないでね！コメントするなら待機で！
・Do not conversation to other users in the waiting room to avoid trouble

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

ホロライブ公式YouTubeチャンネルでもオリジナルコンテンツ配信中！▷ https://www.youtube.com/channel/UCJFZ...
ホロライブ公式Twitter▷ https://twitter.com/hololivetv
ホロライブ公式サイト▷ https://www.hololive.tv/",https://www.youtube.com/watch?v=QHyL5eFdjM0,https://i.ytimg.com/vi/QHyL5eFdjM0/hqdefault.jpg,20,none,2:27:31,147983,6949,0,50,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/QHyL5eFdjM0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2023-01-19T13:02:06Z,2023-01-19T15:30:04Z,2023-01-19T13:00:00Z
2023-01-19T11:30:28Z,【#超速GP3周年】ミニ四駆超速グランプリで大暴れしゅばああああああああああああああああ！！！！：:MINI 4WD HYPER DASH GRAND PRIX【ホロライブ/大空スバル】,"提供：「ミニ四駆 超速グランプリ」

「ミニ四駆 超速グランプリ」のDLはこちらから！
・App Store／Google Play
https://bnent.jp/mini4wd_2023V01/

公式Twitter：https://twitter.com/mini4wd_app
公式サイト：https://mini4wd-app.bn-ent.net/

#超速GP3周年

©小学館 ©ShoPro ©TAMIYA
©Bandai Namco Entertainment Inc.
※ミニ四駆は株式会社タミヤの登録商標です。

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+
🐣お知らせ/Inform🐣
・新曲スターライト出ました！
→https://cover.lnk.to/starlight
+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣twitter🐣
https://twitter.com/oozorasubaru

放送の感想は #生スバル でツイートしてね～！

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣メンバーシップ/Membership🐣
→https://www.youtube.com/channel/UCvzGlP9oQwU--Y0r9id_jnA/join

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣おやくそく/Rule🐣
・待機所でお喋りしないでね！コメントするなら待機で！
・Do not conversation to other users in the waiting room to avoid trouble

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

ホロライブ公式YouTubeチャンネルでもオリジナルコンテンツ配信中！▷ https://www.youtube.com/channel/UCJFZ...
ホロライブ公式Twitter▷ https://twitter.com/hololivetv
ホロライブ公式サイト▷ https://www.hololive.tv/",https://www.youtube.com/watch?v=xrfkxQdspBQ,https://i.ytimg.com/vi/xrfkxQdspBQ/hqdefault.jpg,20,none,1:22:17,153192,7263,0,69,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/xrfkxQdspBQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2023-01-19T10:00:09Z,2023-01-19T11:22:42Z,2023-01-19T10:00:00Z
2023-01-18T12:18:22Z,【＃スバルの小屋】スバルの小屋　ゲスト：AZKiちゃん！/AZKi Suba Free Talk【ホロライブ】【ホロライブ/大空スバル】,"初コラボで初オフコラボです？！
★ゲスト様　@AZKi 

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+
🐣お知らせ/Inform🐣
・新曲スターライト出ました！
→https://cover.lnk.to/starlight
+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣twitter🐣
https://twitter.com/oozorasubaru

放送の感想は #生スバル でツイートしてね～！

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣メンバーシップ/Membership🐣
→https://www.youtube.com/channel/UCvzGlP9oQwU--Y0r9id_jnA/join

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣おやくそく/Rule🐣
・待機所でお喋りしないでね！コメントするなら待機で！
・Do not conversation to other users in the waiting room to avoid trouble

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

ホロライブ公式YouTubeチャンネルでもオリジナルコンテンツ配信中！▷ https://www.youtube.com/channel/UCJFZ...
ホロライブ公式Twitter▷ https://twitter.com/hololivetv
ホロライブ公式サイト▷ https://www.hololive.tv/",https://www.youtube.com/watch?v=UpJn5YTpYvo,https://i.ytimg.com/vi/UpJn5YTpYvo/hqdefault.jpg,20,none,0:57:22,230984,13392,0,138,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/UpJn5YTpYvo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2023-01-18T11:03:47Z,2023-01-18T12:01:23Z,2023-01-18T11:00:00Z
2023-01-17T13:00:51Z,【＃生スバル】ありったけの夢！！！ワンピーススクラッチで新年運試ししゅばああああああああああああああああああああああああああ！！！：Scratch cards【ホロライブ/大空スバル】,"ポケットにロマン

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+
🐣お知らせ/Inform🐣
・新曲スターライト出ました！
→https://cover.lnk.to/starlight

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣twitter🐣
https://twitter.com/oozorasubaru

放送の感想は #生スバル でツイートしてね～！

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣メンバーシップ/Membership🐣
→https://www.youtube.com/channel/UCvzGlP9oQwU--Y0r9id_jnA/join

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣おやくそく/Rule🐣
・待機所でお喋りしないでね！コメントするなら待機で！
・Do not conversation to other users in the waiting room to avoid trouble

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

ホロライブ公式YouTubeチャンネルでもオリジナルコンテンツ配信中！▷ https://www.youtube.com/channel/UCJFZ...
ホロライブ公式Twitter▷ https://twitter.com/hololivetv
ホロライブ公式サイト▷ https://www.hololive.tv/",https://www.youtube.com/watch?v=KeXVEVbYXJI,https://i.ytimg.com/vi/KeXVEVbYXJI/hqdefault.jpg,20,none,1:37:44,164530,6959,0,53,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/KeXVEVbYXJI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2023-01-17T11:01:34Z,2023-01-17T12:41:21Z,2023-01-17T11:00:00Z
2023-01-15T12:06:55Z,【#8】ずっとやりたかったポケモンやるしゅばああああああああああああああああああああああああああああ！！！：レジェンドルートクリア回/Pokémon Scarlet【ホロライブ/大空スバル】,"★イラスト…noRio2(のりお)先輩！https://twitter.com/noriosub

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+
🐣お知らせ/Inform🐣
・新曲スターライト出ました！
→https://cover.lnk.to/starlight

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣twitter🐣
https://twitter.com/oozorasubaru

放送の感想は #生スバル でツイートしてね～！

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣メンバーシップ/Membership🐣
→https://www.youtube.com/channel/UCvzGlP9oQwU--Y0r9id_jnA/join

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣おやくそく/Rule🐣
・待機所でお喋りしないでね！コメントするなら待機で！
・Do not conversation to other users in the waiting room to avoid trouble

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+
この放送は株式会社ドワンゴの実施するニコニコ生放送の出張版放送として配信しております。
ホロライブ公式YouTubeチャンネルでもオリジナルコンテンツ配信中！▷ https://www.youtube.com/channel/UCJFZ...
ホロライブ公式Twitter▷ https://twitter.com/hololivetv
ホロライブ公式サイト▷ https://www.hololive.tv/",https://www.youtube.com/watch?v=bN755bCir7I,https://i.ytimg.com/vi/bN755bCir7I/hqdefault.jpg,20,none,7:12:25,327879,10875,0,73,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/bN755bCir7I"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2023-01-15T04:02:49Z,2023-01-15T11:15:22Z,2023-01-15T04:00:00Z
2023-01-14T09:21:34Z,【#ホロライブレトロゲーム部】正月だ！！RPGだ！！！！！！！ライブアライブリメイクだ！！！！！！中世編だ！！！！！：LIVE A LIVE【※ネタバレ有】,"★ゲスト…おかゆ@NekomataOkayu 
+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+
©1994, 2022 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN
© 1994, 2022 SQUARE ENIX CO., LTD.
© 1994, SHOGAKUKAN Inc.
Gosho Aoyama, Yoshihide Fujiwara, Osamu Ishiwata, Yoshinori Kobayashi, Ryouji Minagawa, Kazuhiko Shimamoto, Yumi Tamura
記載されている会社名・製品名・システム名などは、各社の商標、または登録商標です。
本動画のゲームプレイ映像は、株式会社スクウェア・エニックスの許諾を受けて使用しています。
+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+
🐣4周年記念グッズはこちらから🐣
https://shop.hololivepro.com/products/oozorasubaru_an4th

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+
🐣お知らせ/Inform🐣
・新曲スターライト出ました！
→https://cover.lnk.to/starlight

・コラボおせち予約販売中！（12月17日まで）
→https://smilebase.co.jp/announcement/4529/

・FAMS富士急コラボ開催中！(11/19～12/30まで)
→https://www.fujiq.jp/special/2022_hololive/index.html

・クリスマスボイス発売中🎅
→https://shop.hololivepro.com/products/hololive_christmasvoice2022

・メガトン級ムサシコラボ
→https://www.megaton-musashi.jp/portal/topics/hololive/
+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣twitter🐣
https://twitter.com/oozorasubaru

放送の感想は #生スバル でツイートしてね～！

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣メンバーシップ/Membership🐣
→https://www.youtube.com/channel/UCvzGlP9oQwU--Y0r9id_jnA/join

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+

🐣おやくそく/Rule🐣
・待機所でお喋りしないでね！コメントするなら待機で！
・Do not conversation to other users in the waiting room to avoid trouble

+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+
ホロライブ公式YouTubeチャンネルでもオリジナルコンテンツ配信中！▷ https://www.youtube.com/channel/UCJFZ...
ホロライブ公式Twitter▷ https://twitter.com/hololivetv
ホロライブ公式サイト▷ https://www.hololive.tv/",https://www.youtube.com/watch?v=NAny_01xLzc,https://i.ytimg.com/vi/NAny_01xLzc/hqdefault.jpg,20,none,4:58:10,217785,8641,0,125,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/NAny_01xLzc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2023-01-14T04:00:51Z,2023-01-14T08:58:52Z,2023-01-14T04:00:00Z
